PERIODO,id,TITULO_PROYECTO,PRODUCTORA_RAZON_SOCIAL,TIPO_PRODUCCION,FECHA_RODAJE,FECHA_RODAJE,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,CP,CPA,lon,lat
2012,23,Cepillando,Rebolucion S.A.,Cine Publicitario,6/10/2012,06/10/2012,11 DE SEPTIEMBRE DE 1888 2761,11 DE SEPTIEMBRE DE 1888,2761,BELGRANO,COMUNA 13,1428,C1428AJI,"-5,845,615,794","-3,455,265,855"
2011,24,Danette Cindor,Raya Sa,Cine Publicitario,5/1/2011,05/01/2011,11 DE SEPTIEMBRE DE 1888 2761,11 DE SEPTIEMBRE DE 1888,2761,BELGRANO,COMUNA 13,1428,C1428AJI,"-5,845,615,794","-3,455,265,855"
2011,25,Fibertel,Landia S.R.L.,Cine Publicitario,18/6/2011,18/06/2011,11 DE SEPTIEMBRE DE 1888 2761,11 DE SEPTIEMBRE DE 1888,2761,BELGRANO,COMUNA 13,1428,C1428AJI,"-5,845,615,794","-3,455,265,855"
2011,26,Ritual,La Bestia Films Srl,Cine Publicitario,27/6/2011,27/06/2011,11 DE SEPTIEMBRE DE 1888 2761,11 DE SEPTIEMBRE DE 1888,2761,BELGRANO,COMUNA 13,1428,C1428AJI,"-5,845,615,794","-3,455,265,855"
2011,27,Tres Hombres Y Un Robo,Fundacion Del Cine,Estudiantes,9/7/2011,09/07/2011,11 DE SEPTIEMBRE DE 1888 2871,11 DE SEPTIEMBRE DE 1888,2871,NÚÑEZ,COMUNA 13,1429,C1429BIA,"-5,845,704,852","-3,455,146,582"
2011,28,Tres Hombres Y Un Robo,Fundacion Del Cine,Estudiantes,15/7/2011,15/07/2011,11 DE SEPTIEMBRE DE 1888 2871,11 DE SEPTIEMBRE DE 1888,2871,NÚÑEZ,COMUNA 13,1429,C1429BIA,"-5,845,704,852","-3,455,146,582"
2012,1418,23 Pares,Albertina Carri,Programa Televisivo,11/9/2012,11/09/2012,BESARES 3501,BESARES,3501,SAAVEDRA,COMUNA 12,1430,C1430CHC,"-5,848,171,771","-345,494,091"
2013,30,Wolskvagen Plan,Metropolis Films Sa,Cine Publicitario,30/10/2013,30/10/2013,11 DE SEPTIEMBRE DE 1888 3102,11 DE SEPTIEMBRE DE 1888,3102,NÚÑEZ,COMUNA 13,1429,C1429BIH,"-584,586,814","-345,494,038"
2015,31,Ing,Nunchaku Cine Srl,Cine Publicitario,9/2/2015,09/02/2015,11 DE SEPTIEMBRE DE 1888 4152,11 DE SEPTIEMBRE DE 1888,4152,NÚÑEZ,COMUNA 13,1429,C1429BJB,"-5,846,453,439","-345,414,443"
2012,1824,23 Pares,Albertina Carri,Programa Televisivo,29/8/2012,29/08/2012,"CABRERA, JOSE A. 4409","CABRERA, JOSE A.",4409,PALERMO,COMUNA 14,1414,C1414BGE,"-5,842,636,718","-3,459,408,368"
2011,33,Kleenex,Jacaranda Films S.A.,Cine Publicitario,18/5/2011,18/05/2011,14 DE JULIO 1062,14 DE JULIO,1062,VILLA ORTÚZAR,COMUNA 15,1427,C1427CJV,"-584,619,264","-3,458,114,552"
2012,2618,23 Pares,Albertina Carri,Programa Televisivo,10/9/2012,10/09/2012,CONDE 4434,CONDE,4434,SAAVEDRA,COMUNA 12,1430,C1430FIH,"-5,848,207,509","-34,547,124"
