PERIODO,id,TITULO_PROYECTO,PRODUCTORA_RAZON_SOCIAL,TIPO_PRODUCCION,FECHA_RODAJE,FECHA_RODAJE,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,CP,CPA,lon,lat
2011,988,Cablevision,Ursula Cine Sa,Cine Publicitario,19/1/2011,19/01/2011,ARRIBEÃ‘OS 2197,ARRIBEÃ‘OS,2197,BELGRANO,COMUNA 13,1428,C1428APA,"-5,845,074,503","-3,455,721,614"
2011,989,Un Año Para Recordar,Underground Producciones S.A.,Tv Ficción,31/1/2011,31/01/2011,ARRIBEÃ‘OS 2200,ARRIBEÃ‘OS,2200,BELGRANO,COMUNA 13,1428,C1428APB,"-5,845,084,405","-3,455,723,327"
2014,990,Claro Playlist,Oruga Films S.A.,Cine Publicitario,6/10/2014,06/10/2014,ARRIBEÃ‘OS 2233,ARRIBEÃ‘OS,2233,BELGRANO,COMUNA 13,1428,C1428APC,"-5,845,111,862","-345,567,865"
2012,922,Amores De Historia,Oruga Films S.A.,Programa Televisivo,2/9/2012,02/09/2012,ARMENIA 1353,ARMENIA,1353,PALERMO,COMUNA 14,1414,C1414DKC,"-5,843,083,186","-3,459,182,864"
2013,992,Viral,I-real Srl,Cine Publicitario,25/4/2013,25/04/2013,ARRIBEÃ‘OS 2393,ARRIBEÃ‘OS,2393,BELGRANO,COMUNA 13,1428,C1428APE,"-5,845,231,475","-345,553,993"
2011,993,Burn,Clasica Productora Sa,Cine Publicitario,15/7/2011,15/07/2011,ARROTEA 902,ARROTEA,902,FLORES,COMUNA 7,1406,C1406ESH,"-5,845,913,209","-346,400,943"
2013,994,Coca Cola Zero,Goodgate Sa,Cine Publicitario,14/12/2013,14/12/2013,ARROTEA 923,ARROTEA,923,FLORES,COMUNA 7,1406,C1406ESG,"-584,590,028","-3,464,029,867"
2011,995,Personal Ping-pong,Ursula Cine Sa,Cine Publicitario,24/2/2011,24/02/2011,ARROTEA 923,ARROTEA,923,FLORES,COMUNA 7,1406,C1406ESG,"-584,590,028","-3,464,029,867"
2012,996,Addzero,Ladoblea S.A.,Cine Publicitario,5/12/2012,05/12/2012,ARROTEA 950,ARROTEA,950,FLORES,COMUNA 7,1406,C1406ESH,"-5,845,870,076","-3,464,049,261"
2012,997,Addzero,Ladoblea S.A.,Cine Publicitario,6/12/2012,06/12/2012,ARROTEA 950,ARROTEA,950,FLORES,COMUNA 7,1406,C1406ESH,"-5,845,870,076","-3,464,049,261"
2015,998,Credito Inmobiliario,Jacaranda Films S.A.,Cine Publicitario,15/2/2015,15/02/2015,ARROYO 1101,ARROYO,1101,RETIRO,COMUNA 1,1007,C1007AAG,"-5,838,397,006","-3,459,148,503"
2014,999,Movistar,Ladoblea S.A.,Cine Publicitario,30/9/2014,30/09/2014,ARROYO 1101,ARROYO,1101,RETIRO,COMUNA 1,1007,C1007AAG,"-5,838,397,006","-3,459,148,503"
2011,1000,Video Game,Ladoblea S.A.,Cine Publicitario,24/2/2011,24/02/2011,ARROYO 1101,ARROYO,1101,RETIRO,COMUNA 1,1007,C1007AAG,"-5,838,397,006","-3,459,148,503"
2013,1001,Norte Estrella,Primo Audiovisual S.R.L.,Cine Publicitario,1/9/2013,01/09/2013,CARABELAS 259,CARABELAS,259,SAN NICOLÁS,COMUNA 1,1009,C1009AAA,"-5,838,026,243","-3,460,532,963"
2011,1002,Garnier,48m2 S.A.,Cine Publicitario,8/1/2011,08/01/2011,ARROYO 1105,ARROYO,1105,RETIRO,COMUNA 1,1007,C1007AAG,"-5,838,398,035","-3,459,148,472"
2012,1003,Fiat,Ursula Cine Sa,Cine Publicitario,24/3/2012,24/03/2012,ARROYO 1145,ARROYO,1145,RETIRO,COMUNA 1,1007,C1007AAG,"-5,838,408,334","-345,914,817"
2012,1004,Ford Fiesta,Sergio Teubal,Cine Publicitario,12/11/2012,12/11/2012,ARROYO 1145,ARROYO,1145,RETIRO,COMUNA 1,1007,C1007AAG,"-5,838,408,334","-345,914,817"
2011,1005,Rexona Ataca,Compañía Argentina De Películas Srl,Cine Publicitario,8/10/2011,08/10/2011,ARROYO 1150,ARROYO,1150,RETIRO,COMUNA 1,1007,C1007AAH,"-5,838,368,356","-3,459,157,608"
2013,1006,Galletitas Tuc,Peluca Internacional Sa,Cine Publicitario,18/12/2013,18/12/2013,ARROYO 1160,ARROYO,1160,RETIRO,COMUNA 1,1007,C1007AAH,"-5,838,378,018","-3,459,157,324"
2015,1007,Chloe Campai 2016,Goodgate Sa,Fotografía,8/11/2015,08/11/2015,ARROYO 1185,ARROYO,1185,RETIRO,COMUNA 1,1007,C1007AAG,"-5,838,418,632","-3,459,147,867"
2015,1008,Chloe Campai 2016,Goodgate Sa,Fotografía,10/11/2015,10/11/2015,ARROYO 1185,ARROYO,1185,RETIRO,COMUNA 1,1007,C1007AAG,"-5,838,418,632","-3,459,147,867"
2012,1677,Amores De Historia,Oruga Films S.A.,Programa Televisivo,9/8/2012,09/08/2012,BRUSELAS 900,BRUSELAS,900,VERSALLES,COMUNA 10,1408,C1408BYH,"-5,852,337,823","-3,462,689,633"
2011,1010,Bitburger,14 Al Centro Sa,Cine Publicitario,8/11/2011,08/11/2011,ARROYO 804,ARROYO,804,RETIRO,COMUNA 1,1007,C1007AAB,"-5,837,863,844","-345,926,995"
2012,1880,Amores De Historia,Oruga Films S.A.,Programa Televisivo,12/8/2012,12/08/2012,CALDAS 1301,CALDAS,1301,VILLA ORTÚZAR,COMUNA 15,1427,C1427AHA,"-5,846,413,853","-3,458,763,634"
2014,1012,La Halle,Nube Pictures S.R.L.,Cine Publicitario,31/1/2014,31/01/2014,ARROYO 841,ARROYO,841,RETIRO,COMUNA 1,1007,C1007AAA,"-5,837,910,979","-3,459,181,289"
2014,1013,C&a Film Otonio,Compañía Argentina De Películas Srl,Cine Publicitario,22/6/2014,22/06/2014,ARROYO 850,ARROYO,850,RETIRO,COMUNA 1,1007,C1007AAB,"-5,837,916,815","-3,459,185,962"
2014,1014,Pictograms,Ladoblea S.A.,Cine Publicitario,11/1/2014,11/01/2014,ARROYO 870,ARROYO,870,RETIRO,COMUNA 1,1007,C1007AAB,"-5,837,968,537","-345,914,375"
2015,1015,Esika,Jorge Osvaldo Leon,Fotografía,15/4/2015,15/04/2015,ARROYO 900,ARROYO,900,RETIRO,COMUNA 1,1007,C1007AAB,"-5,838,002,942","-3,459,147,185"
2011,1016,ExtrAños En La Noche,M&s Produccion S.R.L.,Largometraje Nacional,26/8/2011,26/08/2011,ARROYO 900,ARROYO,900,RETIRO,COMUNA 1,1007,C1007AAB,"-5,838,002,942","-3,459,147,185"
2013,1017,Deichmann,Goodgate Sa,Cine Publicitario,13/12/2013,13/12/2013,ARROYO 950,ARROYO,950,RETIRO,COMUNA 1,1007,C1007AAD,"-5,838,088,578","-3,459,156,336"
2013,1018,Yanbal,Brite Productions Latin América Srl,Cine Publicitario,23/6/2013,23/06/2013,ARROYO 962,ARROYO,962,RETIRO,COMUNA 1,1007,C1007AAD,"-5,838,097,093","-3,459,157,254"
2012,1019,Díamond Santoro Y La Soga De Los Muertos,Puenzo Hnos. S.A.,Largometraje Con I.N.C.A.A.,14/2/2012,14/02/2012,"ARTIGAS, JOSE GERVASIO, GRAL. 1372","ARTIGAS, JOSE GERVASIO, GRAL.",1372,VILLA GRAL. MITRE,COMUNA 11,1416,C1416AKH,"-5,847,139,217","-3,461,499,971"
2012,4301,Amores De Historia,Oruga Films S.A.,Programa Televisivo,9/9/2012,09/09/2012,ESTRADA 176,ESTRADA,176,PARQUE CHACABUCO,COMUNA 7,1424,C1424CMD,"-5,842,822,098","-3,463,079,739"
2012,1021,Lucas Perfumado Final,Distrisur Argentina Sa,Cortometraje,16/9/2012,16/09/2012,"ARTIGAS, JOSE GERVASIO, GRAL. 2091","ARTIGAS, JOSE GERVASIO, GRAL.",2091,VILLA GRAL. MITRE,COMUNA 11,1416,C1416AKW,"-5,847,695,362","-3,460,784,365"
2012,5098,Amores De Historia,Oruga Films S.A.,Programa Televisivo,22/8/2012,22/08/2012,GUALEGUAYCHU 2760,GUALEGUAYCHU,2760,VILLA DEVOTO,COMUNA 11,1417,C1417AYP,"-5,850,631,124","-3,460,972,649"
2011,1023,Jota Quest,Lerena Nahuel,Video Clip,23/1/2011,23/01/2011,"ARTIGAS, JOSE GERVASIO, GRAL. 3202","ARTIGAS, JOSE GERVASIO, GRAL.",3202,AGRONOMÍA,COMUNA 15,1417,C1417DKJ,"-5,848,640,439","-345,964,367"
2015,1024,Movistar - Ddm,Lnd Srl,Cine Publicitario,19/9/2015,19/09/2015,"ARTIGAS, JOSE GERVASIO, GRAL. 3219","ARTIGAS, JOSE GERVASIO, GRAL.",3219,AGRONOMÍA,COMUNA 15,1417,C1417DKI,"-5,848,610,978","-3,459,621,974"
2012,1025,La Farruca,Rozca S.A.,Cine Publicitario,26/9/2012,26/09/2012,"ARTIGAS, JOSE GERVASIO, GRAL. 3246","ARTIGAS, JOSE GERVASIO, GRAL.",3246,AGRONOMÍA,COMUNA 15,1417,C1417DKJ,"-5,848,648,951","-3,459,609,147"
2011,1026,Quien Es Ella 2,Enerc,Estudiantes,3/10/2011,03/10/2011,"ARTIGAS, JOSE GERVASIO, GRAL. 3300","ARTIGAS, JOSE GERVASIO, GRAL.",3300,AGRONOMÍA,COMUNA 15,1417,C1417DKJ,"-5,848,695,848","-345,954,419"
2012,5115,Amores De Historia,Oruga Films S.A.,Programa Televisivo,11/9/2012,11/09/2012,GUARDIA VIEJA 3460,GUARDIA VIEJA,3460,ALMAGRO,COMUNA 5,1192,C1192AAD,"-5,841,360,003","-3,460,234,053"
2014,1028,Vuelta Al Cole,Proteina Pura S.A.,Cine Publicitario,19/2/2014,19/02/2014,"ARTIGAS, JOSE GERVASIO, GRAL. 4684","ARTIGAS, JOSE GERVASIO, GRAL.",4684,VILLA PUEYRREDÓN,COMUNA 12,1419,C1419ECX,"-5,849,745,461","-3,458,376,532"
2013,1029,Lorenzo La Puta Y La Muerte,Fundacion Del Cine,Estudiantes,19/10/2013,19/10/2013,"ARTIGAS, JOSE GERVASIO, GRAL. 5150","ARTIGAS, JOSE GERVASIO, GRAL.",5150,VILLA PUEYRREDÓN,COMUNA 12,1419,C1419EEB,"-5,850,106,067","-3,457,980,417"
2014,1030,Eni. Logo Nuevo,Primo Audiovisual S.R.L.,Cine Publicitario,14/3/2014,14/03/2014,ARTILLEROS 1845,ARTILLEROS,1845,BELGRANO,COMUNA 13,1428,C1428AUA,"-5,844,222,142","-3,455,723,685"
2011,1031,Mr. Musculo Glass Panel,Muuamed Srl,Cine Publicitario,19/4/2011,19/04/2011,ARTILLEROS 2230,ARTILLEROS,2230,BELGRANO,COMUNA 13,1428,C1428AUJ,"-5,844,553,014","-3,455,350,029"
2011,1032,Direct Tv,Montecarlo Films Srl,Cine Publicitario,24/2/2011,24/02/2011,ARTILLEROS 2354,ARTILLEROS,2354,BELGRANO,COMUNA 13,1428,C1428AUL,"-5,844,648,562","-3,455,239,035"
2011,1033,Direct Tv,Montecarlo Films Srl,Cine Publicitario,25/2/2011,25/02/2011,ARTILLEROS 2354,ARTILLEROS,2354,BELGRANO,COMUNA 13,1428,C1428AUL,"-5,844,648,562","-3,455,239,035"
2012,5781,Amores De Historia,Oruga Films S.A.,Programa Televisivo,15/8/2012,15/08/2012,ITURRI 1301,ITURRI,1301,VILLA ORTÚZAR,COMUNA 15,1427,C1427AEA,"-5,846,313,603","-3,458,681,443"
2012,6801,Amores De Historia,Oruga Films S.A.,Programa Televisivo,25/7/2012,25/07/2012,MEDRANO 1300,MEDRANO,1300,PALERMO,COMUNA 14,1179,C1179AAX,"-5,841,964,436","-3,459,422,045"
2012,6802,Amores De Historia,Oruga Films S.A.,Programa Televisivo,29/7/2012,29/07/2012,MEDRANO 1300,MEDRANO,1300,PALERMO,COMUNA 14,1179,C1179AAX,"-5,841,964,436","-3,459,422,045"
2013,1037,En Las Nubes,Tres Planos Cine S.A.,Cortometraje,19/12/2013,19/12/2013,ARTILLEROS 2369,ARTILLEROS,2369,BELGRANO,COMUNA 13,1428,C1428AUK,"-5,844,645,967","-3,455,229,358"
2012,1038,Mecha Y Mike,Primo Audiovisual S.R.L.,Cine Publicitario,23/9/2012,23/09/2012,ARZOBISPO ESPINOSA 100,ARZOBISPO ESPINOSA,100,LA BOCA,COMUNA 4,1157,C1157AAB,"-5,836,141,167","-3,462,711,813"
2011,1039,Car,PALERMO Films Sa,Cine Publicitario,18/12/2011,18/12/2011,ARZOBISPO ESPINOSA 100,ARZOBISPO ESPINOSA,100,LA BOCA,COMUNA 4,1157,C1157AAB,"-5,836,141,167","-3,462,711,813"
2014,1040,Cat Chow,Cine Publicitario S.R.L.,Cine Publicitario,20/7/2014,20/07/2014,ARZOBISPO ESPINOSA 23,ARZOBISPO ESPINOSA,23,LA BOCA,COMUNA 4,1157,C1157AAA,"-5,836,059,207","-3,462,620,079"
2014,1041,Cat Chow,Cine Publicitario S.R.L.,Cine Publicitario,23/7/2014,23/07/2014,ARZOBISPO ESPINOSA 23,ARZOBISPO ESPINOSA,23,LA BOCA,COMUNA 4,1157,C1157AAA,"-5,836,059,207","-3,462,620,079"
2011,1042,Parientes,Folk Cine Sa,Cine Publicitario,24/5/2011,24/05/2011,ARZOBISPO ESPINOSA 50,ARZOBISPO ESPINOSA,50,LA BOCA,COMUNA 4,1157,C1157AAB,"-5,836,081,754","-3,462,650,177"
2012,1043,8 Tiros,Mc Millecento Srl,Largometraje Nacional,12/9/2012,12/09/2012,ARZOBISPO ESPINOSA 55,ARZOBISPO ESPINOSA,55,LA BOCA,COMUNA 4,1157,C1157AAA,"-5,836,097,126","-3,462,659,417"
2012,1044,8 Tiros,Mc Millecento Srl,Largometraje Nacional,3/10/2012,03/10/2012,ARZOBISPO ESPINOSA 55,ARZOBISPO ESPINOSA,55,LA BOCA,COMUNA 4,1157,C1157AAA,"-5,836,097,126","-3,462,659,417"
2014,1045,Aproveching,Rasti Films Sa,Cine Publicitario,9/12/2014,09/12/2014,ARZOBISPO ESPINOSA 55,ARZOBISPO ESPINOSA,55,LA BOCA,COMUNA 4,1157,C1157AAA,"-5,836,097,126","-3,462,659,417"
2014,1046,Chevrolet,PALERMO Films Sa,Cine Publicitario,4/4/2014,04/04/2014,ARZOBISPO ESPINOSA 55,ARZOBISPO ESPINOSA,55,LA BOCA,COMUNA 4,1157,C1157AAA,"-5,836,097,126","-3,462,659,417"
2014,1047,Chevrolet,PALERMO Films Sa,Cine Publicitario,13/4/2014,13/04/2014,ARZOBISPO ESPINOSA 55,ARZOBISPO ESPINOSA,55,LA BOCA,COMUNA 4,1157,C1157AAA,"-5,836,097,126","-3,462,659,417"
2011,1048,Manaos,Fight By Flehner Sa,Cine Publicitario,2/2/2011,02/02/2011,ARZOBISPO ESPINOSA 55,ARZOBISPO ESPINOSA,55,LA BOCA,COMUNA 4,1157,C1157AAA,"-5,836,097,126","-3,462,659,417"
2015,1049,Tarjeta Naranja - Mangazo,Lnd Srl,Cine Publicitario,7/2/2015,07/02/2015,ARZOBISPO ESPINOSA 55,ARZOBISPO ESPINOSA,55,LA BOCA,COMUNA 4,1157,C1157AAA,"-5,836,097,126","-3,462,659,417"
2013,1050,Juegos Olimpicos 2018 - Gobierno De La Ciudad Y Comite Olimpico,Altana Films S.A.,Cortometraje,13/6/2013,13/06/2013,ARZOBISPO ESPINOSA 600,ARZOBISPO ESPINOSA,600,LA BOCA,COMUNA 4,1157,C1157AAL,"-5,836,593,462","-3,463,189,394"
2011,1051,Head & Shoulders,Pioneras Producciones Sa,Cine Publicitario,2/3/2011,02/03/2011,ARZOBISPO ESPINOSA 65,ARZOBISPO ESPINOSA,65,LA BOCA,COMUNA 4,1157,C1157AAA,"-5,836,106,541","-3,462,669,184"
2014,1052,Puntos Verdes,Rozca S.A.,Cine Publicitario,3/10/2014,03/10/2014,ASAMBLEA AV. 1001,ASAMBLEA AV.,1001,PARQUE CHACABUCO,COMUNA 7,1406,C1406HVA,"-5,843,888,049","-3,463,525,441"
2012,7996,Amores De Historia,Oruga Films S.A.,Programa Televisivo,2/8/2012,02/08/2012,PICHINCHA 2100,PICHINCHA,2100,PARQUE PATRICIOS,COMUNA 4,1249,C1249ABR,"-5,839,521,398","-3,463,383,572"
2012,7997,Amores De Historia,Oruga Films S.A.,Programa Televisivo,8/8/2012,08/08/2012,PICHINCHA 2100,PICHINCHA,2100,PARQUE PATRICIOS,COMUNA 4,1249,C1249ABR,"-5,839,521,398","-3,463,383,572"
2012,8706,Amores De Historia,Oruga Films S.A.,Programa Televisivo,5/8/2012,05/08/2012,RONDEAU 2301,RONDEAU,2301,PARQUE PATRICIOS,COMUNA 4,1262,C1262ABA,"-5,839,558,261","-3,463,397,898"
2013,1056,Focus,Capital Intelectual S.A.,Largometraje,11/11/2013,11/11/2013,ASAMBLEA AV. 1300,ASAMBLEA AV.,1300,PARQUE CHACABUCO,COMUNA 7,1406,C1406HVP,"-5,844,267,569","-3,463,610,923"
2015,1057,El Origen,Akerman Stephen Arnold,Largometraje,2/11/2015,02/11/2015,ASAMBLEA AV. 1652,ASAMBLEA AV.,1652,PARQUE CHACABUCO,COMUNA 7,1406,C1406HVT,"-5,844,803,621","-3,463,780,235"
2015,1058,Bon O Bon,48m2 S.A.,Cine Publicitario,12/3/2015,12/03/2015,ASAMBLEA AV. 473,ASAMBLEA AV.,473,PARQUE CHACABUCO,COMUNA 7,1424,C1424COE,"-584,323,102","-3,463,361,811"
2012,1059,Farmacity,Fight Films S.A.,Cine Publicitario,6/11/2012,06/11/2012,ASAMBLEA AV. 826,ASAMBLEA AV.,826,PARQUE CHACABUCO,COMUNA 7,1424,C1424COW,"-5,843,607,275","-3,463,476,975"
2012,1060,Ojo / Varicela,Labhouse S.A.,Cine Publicitario,25/4/2012,25/04/2012,ASAMBLEA AV. 917,ASAMBLEA AV.,917,PARQUE CHACABUCO,COMUNA 7,1424,C1424COK,"-5,843,787,633","-346,349,668"
2012,9413,Amores De Historia,Oruga Films S.A.,Programa Televisivo,9/8/2012,09/08/2012,"SASTRE, MARCOS 6000","SASTRE, MARCOS",6000,VERSALLES,COMUNA 10,1408,C1408BAN,"-5,852,239,966","-3,462,535,353"
2012,9440,Amores De Historia,Oruga Films S.A.,Programa Televisivo,7/9/2012,07/09/2012,SENILLOSA 1200,SENILLOSA,1200,PARQUE CHACABUCO,COMUNA 7,1424,C1424BOX,"-5,842,738,243","-3,463,055,024"
2015,1063,Operacion Mexico,Aleph Media Sa,Largometraje Nacional,24/2/2015,24/02/2015,ASUNCION 3780,ASUNCION,3780,VILLA DEVOTO,COMUNA 11,1419,C1419HGL,"-5,850,855,501","-3,459,927,869"
2014,1064,Coca Cola Retornable,Ladoblea S.A.,Cine Publicitario,13/12/2014,13/12/2014,ASUNCION 4602,ASUNCION,4602,VILLA DEVOTO,COMUNA 11,1419,C1419HHH,"-5,851,826,176","-3,460,531,477"
2013,1065,Destapadisimo,Jacaranda Films S.A.,Cine Publicitario,10/5/2013,10/05/2013,ASUNCION 4602,ASUNCION,4602,VILLA DEVOTO,COMUNA 11,1419,C1419HHH,"-5,851,826,176","-3,460,531,477"
2011,1066,Activia,Muuamed Srl,Cine Publicitario,17/2/2011,17/02/2011,ASUNCION 4639,ASUNCION,4639,VILLA DEVOTO,COMUNA 11,1419,C1419HHG,"-585,187,018","-3,460,549,145"
2013,1067,Una Vida Posible,Kocawa Srl,Institucionales,31/10/2013,31/10/2013,ATACALCO 1743,ATACALCO,1743,PALERMO,COMUNA 14,1414,C1414EIA,"-5,843,407,051","-3,458,665,052"
2013,1068,Risas Contagiosas,48m2 S.A.,Cine Publicitario,19/8/2013,19/08/2013,ATUEL 211,ATUEL,211,PARQUE PATRICIOS,COMUNA 4,1437,C1437EPA,"-584,078,203","-346,403,784"
2012,1069,Volkswagen Casamiento,Primo Audiovisual S.R.L.,Cine Publicitario,19/7/2012,19/07/2012,"AUBAIN, TEODORO DR. 1835","AUBAIN, TEODORO DR.",1835,BELGRANO,COMUNA 13,1428,C1428AXA,"-5,844,029,157","-3,455,609,431"
2012,10648,Amores De Historia,Oruga Films S.A.,Programa Televisivo,18/9/2012,18/09/2012,"YRURTIA, ROGELIO 5923","YRURTIA, ROGELIO",5923,SAAVEDRA,COMUNA 12,1431,C1431BJG,"-5,850,280,295","-3,456,415,155"
2014,1071,Citroen Garage Band,Primo Audiovisual S.R.L.,Cine Publicitario,13/2/2014,13/02/2014,AUSTRALIA AV. 2701,AUSTRALIA AV.,2701,BARRACAS,COMUNA 4,1296,C1296ABI,"-5,838,584,604","-346,464,586"
2011,1072,Los Dobles,Fundacion Del Cine,Estudiantes,25/5/2011,25/05/2011,AUSTRIA 2540,AUSTRIA,2540,RECOLETA,COMUNA 2,1425,C1425EGR,"-5,839,958,606","-3,458,470,148"
2011,1073,All In,Bdcine Srl,Largometraje Con I.N.C.A.A.,13/6/2011,13/06/2011,AUSTRIA 2701,AUSTRIA,2701,RECOLETA,COMUNA 2,1425,C1425EGU,"-5,839,633,159","-3,458,214,848"
2013,1074,Juegos Olimpicos 2018 - Gobierno De La Ciudad Y Comite Olimpico,Altana Films S.A.,Cortometraje,13/6/2013,13/06/2013,AUSTRIA 2701,AUSTRIA,2701,RECOLETA,COMUNA 2,1425,C1425EGU,"-5,839,633,159","-3,458,214,848"
2011,1075,All In,Bdcine Srl,Largometraje Con I.N.C.A.A.,5/7/2011,05/07/2011,AUSTRIA 2702,AUSTRIA,2702,RECOLETA,COMUNA 2,1425,C1425EGV,"-5,839,720,293","-3,458,298,202"
2013,1076,Cepita,Montecarlo Films Srl,Cine Publicitario,24/1/2013,24/01/2013,AUSTRIA 2722,AUSTRIA,2722,RECOLETA,COMUNA 2,1425,C1425EGV,"-5,839,709,522","-3,458,285,807"
2011,1077,Nikon Coolpix,Pioneras Producciones Sa,Cine Publicitario,29/1/2011,29/01/2011,AUSTRIA 2751,AUSTRIA,2751,RECOLETA,COMUNA 2,1425,C1425EGU,"-5,839,625,048","-3,458,205,513"
2013,1078,Sugerii Online,Iturrioz Matias & Iturrioz Jose Sh,Video Clip,17/3/2013,17/03/2013,AUSTRIA 2757,AUSTRIA,2757,RECOLETA,COMUNA 2,1425,C1425EGU,"-5,839,624,075","-3,458,204,392"
2014,1079,Quererte Bien,Kocawa Srl,Cortometraje,10/11/2014,10/11/2014,AVALOS 1401,AVALOS,1401,PARQUE CHAS,COMUNA 15,1431,C1431DPA,"-5,847,806,963","-3,458,376,561"
2011,1080,Chas,Enerc,Estudiantes,2/11/2011,02/11/2011,AVALOS 1550,AVALOS,1550,PARQUE CHAS,COMUNA 15,1431,C1431DPD,"-5,847,918,106","-3,458,258,549"
2011,1081,PARQUE CHAS,Enerc,Estudiantes,16/10/2011,16/10/2011,AVALOS 1551,AVALOS,1551,PARQUE CHAS,COMUNA 15,1431,C1431DPC,"-5,847,932,243","-345,824,221"
2015,1194,Animal Politico,Professio Divinitus Sa,Programa Televisivo,2/6/2015,02/06/2015,BALBOA 558,BALBOA,558,PATERNAL,COMUNA 15,1427,C1427ATJ,"-5,846,873,042","-3,459,066,798"
2015,1210,Animal Politico,Professio Divinitus Sa,Programa Televisivo,1/6/2015,01/06/2015,BALBOA 573,BALBOA,573,PATERNAL,COMUNA 15,1427,C1427ATI,"-5,846,880,054","-3,459,046,881"
2012,1084,Fibertel,48m2 S.A.,Cine Publicitario,20/4/2012,20/04/2012,AVELLANEDA AV. 1220,AVELLANEDA AV.,1220,CABALLITO,COMUNA 6,1405,C1405CNZ,"-5,844,840,108","-3,461,814,563"
2011,1085,Maniquies,Maciero Maria Cecilia,Cortometraje,7/9/2011,07/09/2011,"AVILES, VIRREY 2802","AVILES, VIRREY",2802,COLEGIALES,COMUNA 13,1426,C1426EDD,"-5,845,537,345","-3,456,929,575"
2015,1086,Dispuesto A Todo,Kocawa Srl,Cortometraje,18/11/2015,18/11/2015,"AVILES, VIRREY 3601","AVILES, VIRREY",3601,VILLA ORTÚZAR,COMUNA 15,1427,C1427CFA,"-5,846,172,364","-3,457,685,698"
2013,1087,Movistar Dobles,Ladoblea S.A.,Cine Publicitario,19/1/2013,19/01/2013,AYACUCHO 1051,AYACUCHO,1051,RECOLETA,COMUNA 2,1111,C1111AAE,"-5,839,606,662","-3,459,657,402"
2011,1088,El Beso,Fundacion Del Cine,Estudiantes,28/4/2011,28/04/2011,AYACUCHO 1150,AYACUCHO,1150,RECOLETA,COMUNA 2,1111,C1111AAH,"-5,839,604,112","-345,950,779"
2013,1089,Vestido,Ringo Buenos Aires Sa,Cine Publicitario,19/1/2013,19/01/2013,AYACUCHO 1250,AYACUCHO,1250,RECOLETA,COMUNA 2,1111,C1111AAJ,"-5,839,585,018","-3,459,403,325"
2012,1090,Portabildad,Ladoblea S.A.,Cine Publicitario,4/2/2012,04/02/2012,AYACUCHO 1275,AYACUCHO,1275,RECOLETA,COMUNA 2,1111,C1111AAI,"-5,839,570,306","-3,459,375,605"
2014,1091,Alma Mora,Nunchaku Cine Srl,Cine Publicitario,26/8/2014,26/08/2014,AYACUCHO 1496,AYACUCHO,1496,RECOLETA,COMUNA 2,1111,C1111AAN,"-5,839,402,611","-3,459,185,182"
2013,1092,El Cielo Del Centauro,Sapristi Srl,Largometraje Nacional,5/11/2013,05/11/2013,AYACUCHO 1801,AYACUCHO,1801,RECOLETA,COMUNA 2,1112,C1112AAG,"-5,839,084,991","-3,458,915,644"
2013,1093,Oeschle,Civiles Management Srl,Cine Publicitario,22/4/2013,22/04/2013,AYACUCHO 2001,AYACUCHO,2001,RECOLETA,COMUNA 2,1112,C1112AAK,"-5,838,909,902","-3,458,759,631"
2015,4130,Animal Politico,Professio Divinitus Sa,Programa Televisivo,29/5/2015,29/05/2015,ELCANO AV. 4568,ELCANO AV.,4568,CHACARITA,COMUNA 15,1427,C1427CIQ,"-584,658,915","-3,459,008,198"
2011,1095,No Te Enamores De Mi,Federico Finkielstain,Largometraje Nacional,22/3/2011,22/03/2011,AYACUCHO 2066,AYACUCHO,2066,RECOLETA,COMUNA 2,1112,C1112AAL,"-5,838,870,149","-3,458,708,402"
2011,1096,Falabella,El Santuario S.R.L.,Cine Publicitario,10/3/2011,10/03/2011,AYACUCHO 2071,AYACUCHO,2071,RECOLETA,COMUNA 2,1112,C1112AAK,"-5,838,884,283","-3,458,734,246"
2014,1097,Launch- Zero,Ladoblea S.A.,Cine Publicitario,14/2/2014,14/02/2014,AYACUCHO 701,AYACUCHO,701,BALVANERA,COMUNA 3,1026,C1026AAG,"-5,839,563,345","-3,460,083,546"
2014,1098,Si Los Gatos Desaparecieran Del Mundo,Cooperativa De Trabajo Procine Productora Cinematografica Argentina Limitada,Largometraje,17/11/2014,17/11/2014,AYACUCHO 921,AYACUCHO,921,RECOLETA,COMUNA 2,1111,C1111AAC,"-5,839,588,983","-3,459,839,579"
2014,1099,Vida,23 S.A.,Cine Publicitario,26/4/2014,26/04/2014,AYACUCHO 985,AYACUCHO,985,RECOLETA,COMUNA 2,1111,C1111AAC,"-5,839,601,071","-345,976,606"
2015,1100,Sangre En La Boca,Cactus Cine Srl,Largometraje Con I.N.C.A.A.,17/7/2015,17/07/2015,AYOLAS 435,AYOLAS,435,LA BOCA,COMUNA 4,1159,C1159AAA,"-5,835,792,686","-3,463,791,981"
2011,1101,Campania Pro,Fly Films Sa,Cine Publicitario,5/7/2011,05/07/2011,AYOLAS 441,AYOLAS,441,LA BOCA,COMUNA 4,1159,C1159AAA,"-5,835,804,949","-3,463,797,049"
2012,1102,Ford Fiesta I,Sergio Teubal,Cine Publicitario,18/11/2012,18/11/2012,AZARA 865,AZARA,865,BARRACAS,COMUNA 4,1267,C1267ABQ,"-583,711,512","-346,397,705"
